Source,Target,Type,Attribute,Label
1,2,Unidirected,Condition,Condition
1,3,Unidirected,Condition,Condition
1,4,Unidirected,Condition,Condition
1,5,Unidirected,Condition,Condition
1,6,Unidirected,Pubmed_Article,Pubmed_Article
1,7,Unidirected,Pubmed_Article,Pubmed_Article
1,8,Unidirected,Pubmed_Article,Pubmed_Article
1,9,Unidirected,Pubmed_Article,Pubmed_Article
1,10,Unidirected,Pubmed_Article,Pubmed_Article
1,11,Unidirected,Pubmed_Article,Pubmed_Article
1,12,Unidirected,Pubmed_Article,Pubmed_Article
1,13,Unidirected,Pubmed_Article,Pubmed_Article
1,14,Unidirected,Pubmed_Article,Pubmed_Article
1,15,Unidirected,Pubmed_Article,Pubmed_Article
1,16,Unidirected,Pubmed_Article,Pubmed_Article
1,17,Unidirected,Intervention,Intervention
1,18,Unidirected,Intervention,Intervention
1,19,Unidirected,Intervention,Intervention
1,20,Unidirected,Intervention,Intervention